Hochspannung U_H/kV,Fehler U_H/kV,Driftstrom /mikroA,Fehler Driftstrom /mikroA
1.5000,0.0150,-4.0000,2.0005
1.7000,0.0170,2.0000,1.4144
1.9000,0.0190,4.0000,1.4149
2.1000,0.0210,6.0000,1.4158
2.3000,0.0230,8.0000,0.0894
2.4000,0.0240,8.0000,1.4170
2.5000,0.0250,10.0000,1.4186
2.6000,0.0260,14.0000,3.1661
2.6500,0.0265,16.0000,3.1673
2.7000,0.0270,18.0000,4.0051
2.7500,0.0275,22.0000,5.1049
2.8000,0.0280,32.0000,10.2043
2.8500,0.0285,42.0000,15.3043
2.9000,0.0290,54.0000,25.0273
2.9500,0.0295,84.0000,30.2801
