r /cm mo,fehler r/cm mo,D /mSv vorher,fehler d vorher,D/mSv nachher,fehler d nachher,D/mSv Mo,Dt/mSvmin Mo,fehler Dt Mo,r /cm Cu,fehler r/cm Cu,D/mSv Cu,fehler D/mSv Cu,
12.00000,0.40000,0.08000,0.05000,0.80000,0.05000,0.72000,14.40000,1.41421,12.00000,0.40000,22.50000,1.06066,1.50000
13.00000,0.40000,0.80000,0.05000,1.10000,0.05000,0.30000,12.75000,1.06066,13.00000,0.40000,21.00000,1.06066,1.40000
16.00000,0.40000,1.10000,0.05000,1.30000,0.05000,0.20000,10.50000,1.06066,16.00000,0.40000,16.87500,1.06066,1.12500
18.00000,0.40000,1.30000,0.05000,1.48000,0.05000,0.18000,7.87500,1.06066,18.00000,0.40000,12.75000,1.06066,0.85000
21.00000,0.40000,0.05000,0.05000,0.90000,0.05000,0.85000,6.00000,1.41421,21.00000,0.40000,9.75000,1.06066,0.65000
23.00000,0.40000,0.90000,0.05000,1.60000,0.05000,0.70000,5.62500,1.06066,23.00000,0.40000,8.25000,1.06066,0.55000
26.00000,0.40000,0.10000,0.05000,0.20000,0.05000,0.10000,4.00000,1.41421,26.00000,0.40000,6.00000,1.06066,0.40000
28.00000,0.40000,0.20000,0.05000,0.42500,0.05000,0.22500,3.60000,1.06066,28.00000,0.40000,5.62500,1.06066,0.37500
31.00000,0.40000,0.42500,0.05000,0.80000,0.05000,0.37500,3.37500,1.41421,31.00000,0.40000,4.12500,1.06066,0.27500
34.00000,0.40000,0.80000,0.05000,1.32500,0.05000,0.52500,1.50000,1.06066,34.00000,0.40000,4.50000,1.06066,0.30000
