abstand,r/cm,fehler r/cm,fehler D/mSv,Fehler t/s,,D/mSv Mo,t/s Mo,D/t mSv/s Mo,Fehler D/t Mo,,D/mSv Cu,t/s Cu,D/t mSv/s Cu,Fehler D/t Cu,,D/mSvmin Mo,Fehler mSvmin Mo,D/mSvmin Cu,Fehler mSvmin Cu
1.00000,12.00000,0.40000,0.05000,0.10000,,0.72000,3.00000,0.24000,0.01849,,1.50000,4.00000,0.37500,0.01563,,14.40000,3.20004,22.50000,2.10941
2.00000,13.00000,0.40000,0.05000,0.10000,,0.85000,4.00000,0.21250,0.01358,,1.40000,4.00000,0.35000,0.01526,,12.75000,1.19538,21.00000,1.96879
5.00000,16.00000,0.40000,0.05000,0.10000,,0.70000,4.00000,0.17500,0.01324,,1.12500,4.00000,0.28125,0.01434,,10.50000,0.98445,16.87500,1.58208
7.00000,18.00000,0.40000,0.05000,0.10000,,0.52500,4.00000,0.13125,0.01292,,0.85000,4.00000,0.21250,0.01358,,7.87500,0.73839,12.75000,1.19538
10.00000,21.00000,0.40000,0.05000,0.10000,,0.30000,3.00000,0.10000,0.01700,,0.65000,4.00000,0.16250,0.01314,,6.00000,1.33344,9.75000,0.91415
12.00000,23.00000,0.40000,0.05000,0.10000,,0.37500,4.00000,0.09375,0.01272,,0.55000,4.00000,0.13750,0.01296,,5.62500,0.52749,8.25000,0.77354
15.00000,26.00000,0.40000,0.05000,0.10000,,0.20000,3.00000,0.06667,0.01681,,0.40000,4.00000,0.10000,0.01275,,4.00000,0.88905,6.00000,0.56264
17.00000,28.00000,0.40000,0.05000,0.10000,,0.25000,4.00000,0.06250,0.01260,,0.37500,4.00000,0.09375,0.01272,,3.75000,0.35178,5.62500,0.52749
20.00000,31.00000,0.40000,0.05000,0.10000,,0.18000,3.00000,0.06000,0.01679,,0.27500,4.00000,0.06875,0.01262,,3.60000,0.80017,4.12500,0.38692
23.00000,34.00000,0.40000,0.05000,0.10000,,0.10000,4.00000,0.02500,0.01252,,0.30000,4.00000,0.07500,0.01264,,1.50000,0.14118,4.50000,0.42206
